epoch,loss,accuracy,wall_sec
1,2.413908,0.079600,66.983734
2,2.413908,0.079600,66.606504
3,2.413908,0.079600,66.310710
4,2.413908,0.079600,66.493765
5,2.413908,0.079600,66.551085
