workers,measured_speedup,amdahl_estimated,amdahl_f_0_5,amdahl_f_0_9,amdahl_f_0_99,karp_flatt_serial_fraction,gustafson_speedup
1,1.000000,1.000000,1.000000,1.000000,1.000000,N/A,1.000000
2,4.674756,1.904762,1.333333,1.818182,1.980198,-0.572,2.572170
4,6.361346,3.478261,1.600000,3.076923,3.883495,-0.124,4.371202
8,7.305512,5.925926,1.777778,4.705882,7.476636,0.014,7.904936
