workers,threads,input_size,mean_wall_sec,speedup,efficiency
3,1,10000,40.017000,1.000000,1.000000
3,2,10000,29.950500,1.336105,0.668052
3,4,10000,31.335500,1.277050,0.319262
3,8,10000,30.331500,1.319321,0.164915
